date,open,high,low,close,volume,percentchange_open,market
7/16/2010,0.04951,0.04951,0.04951,0.04951,0,0,btc
7/19/2010,0.0808,0.08181,0.07426,0.07474,20,0.631993537,btc
7/20/2010,0.07474,0.07921,0.06634,0.07921,42,-0.075,btc
7/21/2010,0.07921,0.08181,0.0505,0.0505,129,0.059807332,btc
7/22/2010,0.0505,0.06767,0.0505,0.06262,141,-0.362454236,btc
7/23/2010,0.06262,0.06161,0.05049,0.05454,26,0.24,btc
7/26/2010,0.056,0.0605,0.053,0.06,196,-0.105717023,btc
7/27/2010,0.06,0.062,0.054,0.0589,255,0.071428571,btc
7/28/2010,0.0589,0.0699,0.0571,0.0699,528,-0.018333333,btc
7/29/2010,0.0699,0.0698,0.0582,0.0627,198,0.186757216,btc
7/30/2010,0.0627,0.06889,0.056,0.06785,243,-0.103004292,btc
8/2/2010,0.06,0.065,0.059,0.06,606,-0.043062201,btc
8/3/2010,0.06,0.06231,0.057,0.057,210,0,btc
8/4/2010,0.057,0.061,0.058,0.061,303,-0.05,btc
8/5/2010,0.061,0.0624,0.0607,0.0623,85,0.070175439,btc
8/6/2010,0.0623,0.0622,0.059,0.059,157,0.021311475,btc
8/9/2010,0.071,0.0709,0.06651,0.07,88,0.13964687,btc
8/10/2010,0.07,0.07541,0.06,0.067,1015,-0.014084507,btc
8/11/2010,0.067,0.07,0.06141,0.07,134,-0.042857143,btc
8/12/2010,0.07,0.068,0.0645,0.0645,233,0.044776119,btc
8/13/2010,0.0645,0.0695,0.0645,0.067,295,-0.078571429,btc
8/16/2010,0.0655,0.0769,0.06243,0.07,915,0.015503876,btc
8/17/2010,0.07,0.0733,0.067,0.068,203,0.06870229,btc
8/18/2010,0.068,0.0679,0.0667,0.0667,50,-0.028571429,btc
8/19/2010,0.0667,0.0667,0.065,0.0655,276,-0.019117647,btc
8/20/2010,0.0655,0.0669,0.0644,0.0664,688,-0.017991004,btc
8/23/2010,0.06491,0.0665,0.06491,0.065,444,-0.009007634,btc
8/24/2010,0.065,0.0665,0.0641,0.0648,278,0.001386535,btc
8/25/2010,0.0648,0.0658,0.064,0.064,251,-0.003076923,btc
8/26/2010,0.064,0.065,0.063,0.065,583,-0.012345679,btc
8/27/2010,0.065,0.065,0.0641,0.0641,399,0.015625,btc
8/30/2010,0.06497,0.0649,0.06,0.06,933,-0.000461538,btc
8/31/2010,0.06,0.0629,0.05961,0.0629,436,-0.076496845,btc
9/1/2010,0.0629,0.0634,0.0601,0.0634,498,0.048333333,btc
9/2/2010,0.0634,0.063,0.06085,0.06085,54,0.007949126,btc
9/3/2010,0.06085,0.06238,0.0612,0.06238,202,-0.04022082,btc
9/7/2010,0.061,0.062,0.06099,0.062,143,0.002465078,btc
9/8/2010,0.062,0.0624,0.06109,0.06111,107,0.016393443,btc
9/9/2010,0.06111,0.0618,0.06014,0.0618,301,-0.014354839,btc
9/10/2010,0.0618,0.065,0.0619,0.06366,491,0.011291114,btc
9/13/2010,0.06219,0.175,0.061,0.06199,876,0.00631068,btc
9/14/2010,0.06199,0.0625,0.0604,0.0604,223,-0.003215951,btc
9/15/2010,0.0604,0.0619,0.0618,0.0619,45,-0.025649298,btc
9/16/2010,0.0619,0.0609,0.059,0.059,438,0.024834437,btc
9/17/2010,0.059,0.061,0.05761,0.061,427,-0.046849758,btc
9/20/2010,0.0621,0.0633,0.0623,0.06265,359,0.052542373,btc
9/21/2010,0.06265,0.0624,0.06147,0.0622,717,0.008856683,btc
9/22/2010,0.0622,0.063,0.0615,0.06231,970,-0.007182761,btc
9/23/2010,0.06231,0.0624,0.06209,0.0622,42,0.001768489,btc
9/24/2010,0.0622,0.0624,0.0617,0.06202,133,-0.001765367,btc
9/27/2010,0.0622,0.06271,0.0617,0.0619,439,0,btc
9/28/2010,0.0619,0.062,0.0615,0.06191,1450,-0.004823151,btc
9/29/2010,0.06191,0.0619,0.06155,0.0619,488,0.000161551,btc
9/30/2010,0.0619,0.062,0.06189,0.06197,106,-0.000161525,btc
10/1/2010,0.06197,0.06191,0.06125,0.0614,802,0.001130856,btc
10/4/2010,0.0613,0.06301,0.0609,0.0614,1699,-0.010811683,btc
10/5/2010,0.0614,0.0635,0.0612,0.06281,2091,0.001631321,btc
10/6/2010,0.06281,0.067,0.0628,0.067,2812,0.022964169,btc
10/7/2010,0.067,0.088,0.01,0.08685,10784,0.066709123,btc
10/8/2010,0.08685,0.12,0.068,0.0938,16104,0.296268657,btc
10/11/2010,0.095,0.099,0.082,0.0949,2396,0.093839954,btc
